FID_,FIPSSTCO,TRT2000,STFID,OID_,SCTRACTW,FIPSPLACEW,CENSUSPLW,SCTRACTR,FIPSPLACER,CENSUCPLR,TRACTTOTRA,STFID_1,ID_ID,Distance
,11001,902,11001000902,263,51059471200,79952,1252,11001000902,50000,5,4,11001000902,6658,0.001789
,11001,901,11001000901,1391,51059460500,79952,1252,11001000901,50000,5,4,11001000901,6672,0.008338
,11001,1001,11001001001,2,51059471200,48376,772,11001001001,50000,5,4,11001001001,6682,0.004716
,11001,1100,11001001100,2138,51059480200,79952,1252,11001001100,50000,5,15,11001001100,6686,0.005623
,11001,801,11001000801,1,51059471200,48376,772,11001000801,50000,5,10,11001000801,6707,0.011281
,11001,1401,11001001401,744,51059460400,79952,1252,11001001401,50000,5,4,11001001401,6714,0.004588
,11001,1002,11001001002,743,51059460400,79952,1252,11001001002,50000,5,10,11001001002,6758,0.00375
,11001,1402,11001001402,2143,51059480200,79952,1252,11001001402,50000,5,35,11001001402,6765,0.000624
,11001,1200,11001001200,2139,51059480200,79952,1252,11001001200,50000,5,40,11001001200,6774,0.004953
,11001,1302,11001001302,1393,51059460500,79952,1252,11001001302,50000,5,20,11001001302,6783,0.004811
,11001,701,11001000701,739,51059460400,79952,1252,11001000701,50000,5,4,11001000701,6788,0.001201
,11001,600,11001000600,2131,51059480200,79952,1252,11001000600,50000,5,25,11001000600,6793,0.00637
,11001,702,11001000702,0,51059471200,48376,772,11001000702,50000,5,4,11001000702,6809,0.004621
,11001,300,11001000300,261,51059471200,79952,1252,11001000300,50000,5,4,11001000300,6811,0.004583
,11001,1803,11001001803,1395,51059460500,79952,1252,11001001803,50000,5,10,11001001803,6862,0.003159
,11001,1701,11001001701,1394,51059460500,79952,1252,11001001701,50000,5,25,11001001701,6874,0.002298
,11001,1804,11001001804,2148,51059480200,79952,1252,11001001804,50000,5,15,11001001804,6892,0.002925
,11001,1901,11001001901,4,51059471200,48376,772,11001001901,50000,5,4,11001001901,6893,0.004068
,11001,1301,11001001301,3,51059471200,48376,772,11001001301,50000,5,10,11001001301,6903,0.007409
,11001,1500,11001001500,745,51059460400,79952,1252,11001001500,50000,5,20,11001001500,6906,0.011925
,11001,2001,11001002001,2150,51059480200,79952,1252,11001002001,50000,5,4,11001002001,6925,0.000394
,11001,2600,11001002600,267,51059471200,79952,1252,11001002600,50000,5,4,11001002600,6935,0.006092
,11001,501,11001000501,738,51059460400,79952,1252,11001000501,50000,5,4,11001000501,6946,0.001245
,11001,4100,11001004100,271,51059471200,79952,1252,11001004100,50000,5,10,11001004100,6955,0.001871
,11001,4001,11001004001,749,51059460400,79952,1252,11001004001,50000,5,4,11001004001,6962,0.002562
,11001,4002,11001004002,750,51059460400,79952,1252,11001004002,50000,5,4,11001004002,6965,0.003131
,11001,4202,11001004202,1406,51059460500,79952,1252,11001004202,50000,5,4,11001004202,6972,0.002197
,11001,2701,11001002701,268,51059471200,79952,1252,11001002701,50000,5,10,11001002701,6975,0.005028
,11001,2702,11001002702,269,51059471200,79952,1252,11001002702,50000,5,10,11001002702,6980,0.00546
,11001,3900,11001003900,1403,51059460500,79952,1252,11001003900,50000,5,15,11001003900,6986,0.007403
,11001,3800,11001003800,748,51059460400,79952,1252,11001003800,50000,5,15,11001003800,6992,0.002701
,11001,4300,11001004300,272,51059471200,79952,1252,11001004300,50000,5,15,11001004300,6996,0.002147
,11001,4201,11001004201,1405,51059460500,79952,1252,11001004201,50000,5,20,11001004201,6997,0.002348
,11001,2101,11001002101,746,51059460400,79952,1252,11001002101,50000,5,10,11001002101,7012,0.003599
,11001,2002,11001002002,5,51059471200,48376,772,11001002002,50000,5,4,11001002002,7015,0.003522
,11001,1902,11001001902,2149,51059480200,79952,1252,11001001902,50000,5,4,11001001902,7023,0.006742
,11001,2502,11001002502,1398,51059460500,79952,1252,11001002502,50000,5,4,11001002502,7033,0.005189
,11001,2400,11001002400,2154,51059480200,79952,1252,11001002400,50000,5,4,11001002400,7042,0.00158
,11001,2301,11001002301,2153,51059480200,79952,1252,11001002301,50000,5,25,11001002301,7053,0.002203
,11001,2102,11001002102,265,51059471200,79952,1252,11001002102,50000,5,4,11001002102,7059,0.000576
